episode_seed,total_steps,total_pulses,intercepted_count,interception_rate,wasted_dwells,dwell_waste_ratio,retuning_distance,total_reward,tier1_steps,tier2_steps,policy
126,500,500,13,2.6,0,0.0,933.0,-362.3400000000001,0,0,Sweeper
127,500,500,8,1.6,0,0.0,933.0,-347.3,0,0,Sweeper
128,500,500,10,2.0,0,0.0,933.0,-363.07999999999976,0,0,Sweeper
129,500,500,8,1.6,0,0.0,933.0,-378.1300000000001,0,0,Sweeper
130,500,500,8,1.6,0,0.0,933.0,-365.1,0,0,Sweeper
131,500,500,9,1.7999999999999998,0,0.0,933.0,-369.7299999999999,0,0,Sweeper
132,500,500,8,1.6,0,0.0,933.0,-358.64999999999975,0,0,Sweeper
133,500,500,9,1.7999999999999998,0,0.0,933.0,-361.5999999999999,0,0,Sweeper
134,500,500,9,1.7999999999999998,0,0.0,933.0,-404.24000000000007,0,0,Sweeper
135,500,500,6,1.2,0,0.0,933.0,-375.1799999999999,0,0,Sweeper
136,500,500,8,1.6,0,0.0,933.0,-364.13000000000017,0,0,Sweeper
137,500,500,8,1.6,0,0.0,933.0,-380.6599999999998,0,0,Sweeper
138,500,500,6,1.2,0,0.0,933.0,-364.0999999999997,0,0,Sweeper
139,500,500,5,1.0,0,0.0,933.0,-379.11999999999983,0,0,Sweeper
140,500,500,11,2.1999999999999997,0,0.0,933.0,-365.39,0,0,Sweeper
141,500,500,7,1.4000000000000001,0,0.0,933.0,-373.6,0,0,Sweeper
42,500,500,6,1.2,0,0.0,9554.0,-363.6200000000005,0,0,SW-UCB
43,500,500,11,2.1999999999999997,0,0.0,8696.0,-342.65999999999997,0,0,SW-UCB
44,500,500,6,1.2,0,0.0,8768.0,-372.8600000000001,0,0,SW-UCB
45,500,500,8,1.6,0,0.0,9075.0,-375.61999999999995,0,0,SW-UCB
46,500,500,10,2.0,0,0.0,9204.0,-350.5400000000001,0,0,SW-UCB
47,500,500,8,1.6,0,0.0,9141.0,-360.25999999999954,0,0,SW-UCB
48,500,500,8,1.6,0,0.0,9456.0,-354.17,0,0,SW-UCB
49,500,500,7,1.4000000000000001,0,0.0,9411.0,-370.51000000000033,0,0,SW-UCB
50,500,500,8,1.6,0,0.0,9213.0,-409.5800000000002,0,0,SW-UCB
51,500,500,12,2.4,0,0.0,9732.0,-353.5100000000003,0,0,SW-UCB
52,500,500,12,2.4,0,0.0,9284.0,-366.3100000000001,0,0,SW-UCB
53,500,500,7,1.4000000000000001,0,0.0,9327.0,-357.3899999999999,0,0,SW-UCB
54,500,500,9,1.7999999999999998,0,0.0,9459.0,-372.8000000000001,0,0,SW-UCB
55,500,500,6,1.2,0,0.0,9275.0,-376.61000000000007,0,0,SW-UCB
56,500,500,6,1.2,0,0.0,9767.0,-371.2700000000001,0,0,SW-UCB
57,500,500,12,2.4,0,0.0,9298.0,-370.4100000000001,0,0,SW-UCB
58,500,500,10,2.0,0,0.0,9531.0,-343.5800000000004,0,0,SW-UCB
59,500,500,7,1.4000000000000001,0,0.0,9017.0,-384.5600000000002,0,0,SW-UCB
60,500,500,9,1.7999999999999998,0,0.0,9547.0,-363.5100000000002,0,0,SW-UCB
61,500,500,9,1.7999999999999998,0,0.0,9376.0,-359.5699999999996,0,0,SW-UCB
62,500,500,7,1.4000000000000001,0,0.0,9742.0,-381.73999999999995,0,0,SW-UCB
63,500,500,9,1.7999999999999998,0,0.0,9418.0,-370.21000000000026,0,0,SW-UCB
64,500,500,9,1.7999999999999998,0,0.0,9435.0,-345.8899999999998,0,0,SW-UCB
65,500,500,4,0.8,0,0.0,9316.0,-373.39000000000004,0,0,SW-UCB
66,500,500,13,2.6,0,0.0,9668.0,-364.1200000000002,0,0,SW-UCB
67,500,500,15,3.0,0,0.0,9747.0,-394.1100000000001,0,0,SW-UCB
68,500,500,11,2.1999999999999997,0,0.0,9514.0,-374.54999999999967,0,0,SW-UCB
69,500,500,11,2.1999999999999997,0,0.0,9367.0,-364.32000000000016,0,0,SW-UCB
70,500,500,4,0.8,0,0.0,9503.0,-369.72,0,0,SW-UCB
71,500,500,3,0.6,0,0.0,8913.0,-372.77999999999975,0,0,SW-UCB
72,500,500,16,3.2,0,0.0,9567.0,-351.0,0,0,SW-UCB
73,500,500,12,2.4,0,0.0,9160.0,-361.49999999999966,0,0,SW-UCB
74,500,500,10,2.0,0,0.0,9415.0,-364.84000000000015,0,0,SW-UCB
75,500,500,9,1.7999999999999998,0,0.0,9135.0,-367.8300000000004,0,0,SW-UCB
76,500,500,6,1.2,0,0.0,8783.0,-385.1000000000002,0,0,SW-UCB
77,500,500,8,1.6,0,0.0,8912.0,-380.7699999999998,0,0,SW-UCB
78,500,500,14,2.8000000000000003,0,0.0,9197.0,-338.5099999999996,0,0,SW-UCB
79,500,500,10,2.0,0,0.0,9385.0,-363.2700000000001,0,0,SW-UCB
80,500,500,11,2.1999999999999997,0,0.0,9296.0,-355.86000000000007,0,0,SW-UCB
81,500,500,6,1.2,0,0.0,9723.0,-378.0,0,0,SW-UCB
82,500,500,12,2.4,0,0.0,9386.0,-361.71999999999997,0,0,SW-UCB
83,500,500,13,2.6,0,0.0,9232.0,-343.89,0,0,SW-UCB
84,500,500,12,2.4,0,0.0,9588.0,-353.74,0,0,SW-UCB
85,500,500,8,1.6,0,0.0,8674.0,-366.59999999999974,0,0,SW-UCB
86,500,500,6,1.2,0,0.0,9703.0,-372.59000000000003,0,0,SW-UCB
87,500,500,10,2.0,0,0.0,9695.0,-368.02999999999975,0,0,SW-UCB
88,500,500,3,0.6,0,0.0,9574.0,-365.79,0,0,SW-UCB
89,500,500,14,2.8000000000000003,0,0.0,9569.0,-352.52999999999975,0,0,SW-UCB
90,500,500,6,1.2,0,0.0,9388.0,-362.2599999999996,0,0,SW-UCB
91,500,500,11,2.1999999999999997,0,0.0,8981.0,-338.9199999999999,0,0,SW-UCB
92,500,500,7,1.4000000000000001,0,0.0,9296.0,-376.96000000000055,0,0,SW-UCB
93,500,500,10,2.0,0,0.0,9807.0,-358.9600000000003,0,0,SW-UCB
94,500,500,7,1.4000000000000001,0,0.0,10010.0,-373.63,0,0,SW-UCB
95,500,500,7,1.4000000000000001,0,0.0,9126.0,-377.6900000000001,0,0,SW-UCB
96,500,500,12,2.4,0,0.0,9821.0,-360.5699999999999,0,0,SW-UCB
97,500,500,6,1.2,0,0.0,8915.0,-364.60000000000025,0,0,SW-UCB
98,500,500,9,1.7999999999999998,0,0.0,9744.0,-392.5100000000003,0,0,SW-UCB
99,500,500,12,2.4,0,0.0,9194.0,-360.0899999999999,0,0,SW-UCB
100,500,500,5,1.0,0,0.0,9230.0,-361.4800000000001,0,0,SW-UCB
101,500,500,5,1.0,0,0.0,9339.0,-380.52000000000004,0,0,SW-UCB
102,500,500,21,4.2,0,0.0,9165.0,-349.6900000000003,0,0,SW-UCB
103,500,500,14,2.8000000000000003,0,0.0,9655.0,-367.94000000000034,0,0,SW-UCB
104,500,500,12,2.4,0,0.0,9433.0,-355.8399999999997,0,0,SW-UCB
105,500,500,4,0.8,0,0.0,9090.0,-366.89,0,0,SW-UCB
106,500,500,3,0.6,0,0.0,9304.0,-384.5499999999997,0,0,SW-UCB
107,500,500,14,2.8000000000000003,0,0.0,8711.0,-356.2500000000001,0,0,SW-UCB
108,500,500,12,2.4,0,0.0,9281.0,-345.45000000000016,0,0,SW-UCB
109,500,500,5,1.0,0,0.0,9107.0,-377.90999999999985,0,0,SW-UCB
110,500,500,13,2.6,0,0.0,9353.0,-377.06,0,0,SW-UCB
111,500,500,8,1.6,0,0.0,9533.0,-370.4000000000006,0,0,SW-UCB
112,500,500,7,1.4000000000000001,0,0.0,9230.0,-371.09999999999997,0,0,SW-UCB
113,500,500,5,1.0,0,0.0,9164.0,-362.5200000000001,0,0,SW-UCB
114,500,500,8,1.6,0,0.0,9103.0,-353.92,0,0,SW-UCB
115,500,500,6,1.2,0,0.0,9524.0,-377.0999999999999,0,0,SW-UCB
116,500,500,17,3.4000000000000004,0,0.0,9319.0,-354.12000000000006,0,0,SW-UCB
117,500,500,10,2.0,0,0.0,9885.0,-353.7900000000002,0,0,SW-UCB
118,500,500,3,0.6,0,0.0,9231.0,-381.46000000000055,0,0,SW-UCB
119,500,500,12,2.4,0,0.0,9464.0,-356.1599999999995,0,0,SW-UCB
120,500,500,9,1.7999999999999998,0,0.0,9004.0,-366.70000000000033,0,0,SW-UCB
121,500,500,15,3.0,0,0.0,9161.0,-353.83,0,0,SW-UCB
122,500,500,7,1.4000000000000001,0,0.0,10086.0,-380.73999999999984,0,0,SW-UCB
123,500,500,4,0.8,0,0.0,9776.0,-362.06999999999965,0,0,SW-UCB
124,500,500,10,2.0,0,0.0,9256.0,-369.8399999999995,0,0,SW-UCB
125,500,500,7,1.4000000000000001,0,0.0,8892.0,-376.81000000000006,0,0,SW-UCB
126,500,500,3,0.6,0,0.0,9534.0,-383.71999999999974,0,0,SW-UCB
127,500,500,14,2.8000000000000003,0,0.0,8861.0,-337.6000000000003,0,0,SW-UCB
128,500,500,15,3.0,0,0.0,8966.0,-351.49,0,0,SW-UCB
129,500,500,12,2.4,0,0.0,9416.0,-374.9400000000003,0,0,SW-UCB
130,500,500,13,2.6,0,0.0,9449.0,-360.3200000000003,0,0,SW-UCB
131,500,500,8,1.6,0,0.0,9285.0,-371.28000000000003,0,0,SW-UCB
132,500,500,8,1.6,0,0.0,9849.0,-358.2300000000001,0,0,SW-UCB
133,500,500,11,2.1999999999999997,0,0.0,8904.0,-355.59000000000015,0,0,SW-UCB
134,500,500,10,2.0,0,0.0,9303.0,-401.03000000000003,0,0,SW-UCB
135,500,500,9,1.7999999999999998,0,0.0,9816.0,-369.5599999999997,0,0,SW-UCB
136,500,500,10,2.0,0,0.0,9250.0,-362.80999999999995,0,0,SW-UCB
137,500,500,8,1.6,0,0.0,9002.0,-385.89000000000016,0,0,SW-UCB
138,500,500,9,1.7999999999999998,0,0.0,9178.0,-361.16,0,0,SW-UCB
139,500,500,10,2.0,0,0.0,9397.0,-365.67999999999995,0,0,SW-UCB
140,500,500,10,2.0,0,0.0,9406.0,-368.63000000000005,0,0,SW-UCB
141,500,500,8,1.6,0,0.0,9482.0,-369.5400000000004,0,0,SW-UCB
42,500,500,7,1.4000000000000001,0,0.0,8891.0,-361.14000000000027,500,0,Hybrid-DRQN
43,500,500,72,14.399999999999999,0,0.0,4817.0,-224.87000000000063,430,70,Hybrid-DRQN
44,500,500,7,1.4000000000000001,0,0.0,9180.0,-361.7099999999999,500,0,Hybrid-DRQN
45,500,500,9,1.7999999999999998,0,0.0,8777.0,-367.23999999999995,500,0,Hybrid-DRQN
46,500,500,73,14.6,0,0.0,3300.0,-228.68000000000077,422,78,Hybrid-DRQN
47,500,500,67,13.4,0,0.0,1567.0,-245.18000000000194,436,64,Hybrid-DRQN
48,500,500,89,17.8,0,0.0,2186.0,-203.90000000000097,410,90,Hybrid-DRQN
49,500,500,107,21.4,0,0.0,3159.0,-203.2300000000014,390,110,Hybrid-DRQN
50,500,500,99,19.8,0,0.0,587.0,-307.2700000000011,399,101,Hybrid-DRQN
51,500,500,35,7.000000000000001,0,0.0,5492.0,-315.88999999999936,470,30,Hybrid-DRQN
52,500,500,66,13.200000000000001,0,0.0,1988.0,-257.67000000000115,430,70,Hybrid-DRQN
53,500,500,95,19.0,0,0.0,1976.0,-193.01000000000002,393,107,Hybrid-DRQN
54,500,500,55,11.0,0,0.0,2771.0,-279.9099999999999,440,60,Hybrid-DRQN
55,500,500,68,13.600000000000001,0,0.0,1168.0,-257.65000000000083,429,71,Hybrid-DRQN
56,500,500,3,0.6,0,0.0,1750.0,-352.55000000000007,500,0,Hybrid-DRQN
57,500,500,45,9.0,0,0.0,994.0,-311.84,450,50,Hybrid-DRQN
58,500,500,1,0.2,0,0.0,45.0,-322.04999999999797,500,0,Hybrid-DRQN
59,500,500,72,14.399999999999999,0,0.0,2087.0,-291.44000000000005,430,70,Hybrid-DRQN
60,500,500,0,0.0,0,0.0,271.0,-348.41000000000065,500,0,Hybrid-DRQN
61,500,500,1,0.2,0,0.0,21.0,-345.12000000000126,500,0,Hybrid-DRQN
62,500,500,63,12.6,0,0.0,440.0,-258.62000000000097,440,60,Hybrid-DRQN
63,500,500,64,12.8,0,0.0,563.0,-262.31000000000034,440,60,Hybrid-DRQN
64,500,500,1,0.2,0,0.0,25.0,-330.08,500,0,Hybrid-DRQN
65,500,500,73,14.6,0,0.0,1418.0,-236.29999999999984,421,79,Hybrid-DRQN
66,500,500,0,0.0,0,0.0,36.0,-326.0699999999994,500,0,Hybrid-DRQN
67,500,500,0,0.0,0,0.0,6220.0,-409.4799999999995,500,0,Hybrid-DRQN
68,500,500,0,0.0,0,0.0,2001.0,-370.95999999999947,500,0,Hybrid-DRQN
69,500,500,0,0.0,0,0.0,382.0,-359.7099999999993,500,0,Hybrid-DRQN
70,500,500,0,0.0,0,0.0,44.0,-357.3499999999986,500,0,Hybrid-DRQN
71,500,500,1,0.2,0,0.0,216.0,-355.25000000000045,500,0,Hybrid-DRQN
72,500,500,1,0.2,0,0.0,30.0,-352.2000000000005,500,0,Hybrid-DRQN
73,500,500,0,0.0,0,0.0,30.0,-355.8700000000005,500,0,Hybrid-DRQN
74,500,500,0,0.0,0,0.0,30.0,-360.72999999999917,500,0,Hybrid-DRQN
75,500,500,0,0.0,0,0.0,30.0,-357.779999999999,500,0,Hybrid-DRQN
76,500,500,0,0.0,0,0.0,760.0,-352.76,500,0,Hybrid-DRQN
77,500,500,0,0.0,0,0.0,50.0,-364.3400000000008,500,0,Hybrid-DRQN
78,500,500,0,0.0,0,0.0,88.0,-346.55999999999864,500,0,Hybrid-DRQN
79,500,500,0,0.0,0,0.0,40.0,-341.5399999999998,500,0,Hybrid-DRQN
80,500,500,0,0.0,0,0.0,40.0,-366.4399999999991,500,0,Hybrid-DRQN
81,500,500,0,0.0,0,0.0,40.0,-363.1700000000008,500,0,Hybrid-DRQN
82,500,500,20,4.0,0,0.0,212.0,-313.4300000000007,480,20,Hybrid-DRQN
83,500,500,0,0.0,0,0.0,24.0,-322.18999999999784,500,0,Hybrid-DRQN
84,500,500,0,0.0,0,0.0,24.0,-341.5500000000002,500,0,Hybrid-DRQN
85,500,500,81,16.2,0,0.0,871.0,-216.2300000000002,411,89,Hybrid-DRQN
86,500,500,1,0.2,0,0.0,60.0,-346.19000000000057,500,0,Hybrid-DRQN
87,500,500,0,0.0,0,0.0,159.0,-366.71000000000043,500,0,Hybrid-DRQN
88,500,500,0,0.0,0,0.0,80.0,-349.47000000000304,500,0,Hybrid-DRQN
89,500,500,82,16.400000000000002,0,0.0,1598.0,-228.84,415,85,Hybrid-DRQN
90,500,500,0,0.0,0,0.0,53.0,-345.1499999999998,500,0,Hybrid-DRQN
91,500,500,1,0.2,0,0.0,33.0,-284.77999999999975,500,0,Hybrid-DRQN
92,500,500,0,0.0,0,0.0,33.0,-356.0200000000008,500,0,Hybrid-DRQN
93,500,500,0,0.0,0,0.0,33.0,-358.73999999999944,500,0,Hybrid-DRQN
94,500,500,0,0.0,0,0.0,33.0,-362.1299999999996,500,0,Hybrid-DRQN
95,500,500,0,0.0,0,0.0,33.0,-356.07000000000073,500,0,Hybrid-DRQN
